 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC      Illu%  Ang-diam                r        rdot             delta      deldot     S-O-T /r     S-T-O  App_Lon_Sun
******************************************************************************************************************************************************************
$$SOE
 2013-Jan-19 00:00     21 25 53.88 -16 15 57.8   98.52058  4.132241   1.381702650702  -0.1347572  2.26639726978357   3.8487202   19.8278 /T   13.9779  247.6134491
 2013-Jan-20 00:00     21 29 01.06 -16 00 54.0   98.55311  4.128199   1.381632039947  -0.1097620  2.26861644846294   3.8360310   19.6004 /T   13.8227  248.2479556
 2013-Jan-21 00:00     21 32 07.80 -15 45 40.3   98.58529  4.124178   1.381575869548  -0.0847514  2.27082845649013   3.8238888   19.3733 /T   13.6675  248.8825203
 2013-Jan-22 00:00     21 35 14.08 -15 30 17.0   98.61711  4.120177   1.381534147458  -0.0597287  2.27303360420207   3.8122735   19.1465 /T   13.5122  249.5171299
 2013-Jan-23 00:00     21 38 19.93 -15 14 44.3   98.64858  4.116195   1.381506879556  -0.0346977  2.27523218921432   3.8011612   18.9200 /T   13.3570  250.1517712
 2013-Jan-24 00:00     21 41 25.32 -14 59 02.2   98.67970  4.112233   1.381494069648  -0.0096620  2.27742449396552   3.7905229   18.6938 /T   13.2017  250.7864309
 2013-Jan-25 00:00     21 44 30.27 -14 43 11.2   98.71046  4.108289   1.381495719465   0.0153750  2.27961078214316   3.7803222   18.4679 /T   13.0464  251.4210957
 2013-Jan-26 00:00     21 47 34.79 -14 27 11.3   98.74087  4.104363   1.381511828662   0.0404097  2.28179129338792   3.7705118   18.2422 /T   12.8910  252.0557525
 2013-Jan-27 00:00     21 50 38.86 -14 11 02.7   98.77092  4.100455   1.381542394821   0.0654383  2.28396623615925   3.7610304   18.0168 /T   12.7357  252.6903878
 2013-Jan-28 00:00     21 53 42.50 -13 54 45.8   98.80062  4.096563   1.381587413448   0.0904574  2.28613577914181   3.7518014   17.7916 /T   12.5803  253.3249885
 2013-Jan-29 00:00     21 56 45.72 -13 38 20.5   98.82997  4.092689   1.381646877974   0.1154633  2.28830004200653   3.7427319   17.5666 /T   12.4249  253.9595411
 2013-Jan-30 00:00     21 59 48.51 -13 21 47.3   98.85897  4.088831   1.381720779762   0.1404524  2.29045908660430   3.7337148   17.3419 /T   12.2695  254.5940325
 2013-Jan-31 00:00     22 02 50.88 -13 05 06.2   98.88761  4.084990   1.381809108106   0.1654212  2.29261290968667   3.7246326   17.1173 /T   12.1140  255.2284494
 2013-Feb-01 00:00     22 05 52.84 -12 48 17.5   98.91591  4.081165   1.381911850238   0.1903661  2.29476143803822   3.7153615   16.8929 /T   11.9584  255.8627786
 2013-Feb-02 00:00     22 08 54.39 -12 31 21.3   98.94386  4.077357   1.382028991327   0.2152835  2.29690452660865   3.7057774   16.6687 /T   11.8028  256.4970070
 2013-Feb-03 00:00     22 11 55.54 -12 14 17.9   98.97145  4.073566   1.382160514492   0.2401700  2.29904196005521   3.6957621   16.4446 /T   11.6471  257.1311213
 2013-Feb-04 00:00     22 14 56.30 -11 57 07.6   98.99870  4.069793   1.382306400799   0.2650219  2.30117345819160   3.6852107   16.2207 /T   11.4913  257.7651084
 2013-Feb-05 00:00     22 17 56.66 -11 39 50.4   99.02560  4.066038   1.382466629273   0.2898357  2.30329868614565   3.6740404   15.9969 /T   11.3355  258.3989551
 2013-Feb-06 00:00     22 20 56.63 -11 22 26.6   99.05215  4.062302   1.382641176904   0.3146079  2.30541727024340   3.6622014   15.7733 /T   11.1796  259.0326484
 2013-Feb-07 00:00     22 23 56.23 -11 04 56.5   99.07835  4.058584   1.382830018651   0.3393350  2.30752882025477   3.6496878   15.5499 /T   11.0236  259.6661752
 2013-Feb-08 00:00     22 26 55.44 -10 47 20.2   99.10419  4.054887   1.383033127457   0.3640134  2.30963295721504   3.6365454   15.3266 /T   10.8676  260.2995225
 2013-Feb-09 00:00     22 29 54.29 -10 29 38.0   99.12968  4.051210   1.383250474253   0.3886399  2.31172934368405   3.6228714   15.1034 /T   10.7114  260.9326774
 2013-Feb-10 00:00     22 32 52.76 -10 11 50.0   99.15482  4.047553   1.383482027970   0.4132108  2.31381771103521   3.6088042   14.8805 /T   10.5553  261.5656269
 2013-Feb-11 00:00     22 35 50.88 -09 53 56.6   99.17959  4.043918   1.383727755550   0.4377227  2.31589787778197   3.5945033   14.6577 /T   10.3991  262.1983583
 2013-Feb-12 00:00     22 38 48.62 -09 35 58.0   99.20401  4.040303   1.383987621950   0.4621723  2.31796975502847   3.5801260   14.4351 /T   10.2428  262.8308586
 2013-Feb-13 00:00     22 41 46.02 -09 17 54.2   99.22807  4.036709   1.384261590160   0.4865561  2.32003333911604   3.5658075   14.2126 /T   10.0865  263.4631150
 2013-Feb-14 00:00     22 44 43.06 -08 59 45.7   99.25176  4.033136   1.384549621213   0.5108707  2.32208869527453   3.5516501   13.9904 /T    9.9303  264.0951148
 2013-Feb-15 00:00     22 47 39.75 -08 41 32.6   99.27508  4.029584   1.384851674194   0.5351127  2.32413593773467   3.5377217   13.7683 /T    9.7740  264.7268454
 2013-Feb-16 00:00     22 50 36.10 -08 23 15.0   99.29804  4.026051   1.385167706257   0.5592789  2.32617521105680   3.5240607   13.5465 /T    9.6176  265.3582942
 2013-Feb-17 00:00     22 53 32.12 -08 04 53.3   99.32064  4.022538   1.385497672631   0.5833660  2.32820667544188   3.5106842   13.3248 /T    9.4613  265.9894487
 2013-Feb-18 00:00     22 56 27.81 -07 46 27.6   99.34286  4.019044   1.385841526639   0.6073706  2.33023049676197   3.4975959   13.1033 /T    9.3050  266.6202965
 2013-Feb-19 00:00     22 59 23.17 -07 27 58.2   99.36472  4.015570   1.386199219708   0.6312895  2.33224684065517   3.4847921   12.8819 /T    9.1487  267.2508251
 2013-Feb-20 00:00     23 02 18.22 -07 09 25.2   99.38621  4.012114   1.386570701383   0.6551194  2.33425586934614   3.4722650   12.6607 /T    8.9924  267.8810222
 2013-Feb-21 00:00     23 05 12.96 -06 50 48.8   99.40734  4.008676   1.386955919340   0.6788570  2.33625773965280   3.4600035   12.4397 /T    8.8361  268.5108755
 2013-Feb-22 00:00     23 08 07.40 -06 32 09.3   99.42809  4.005256   1.387354819402   0.7024992  2.33825260068896   3.4479917   12.2188 /T    8.6798  269.1403729
 2013-Feb-23 00:00     23 11 01.55 -06 13 26.8   99.44848  4.001854   1.387767345556   0.7260429  2.34024058995083   3.4362045   11.9980 /T    8.5235  269.7695023
 2013-Feb-24 00:00     23 13 55.41 -05 54 41.6   99.46850  3.998468   1.388193439970   0.7494849  2.34222182678417   3.4246031   11.7774 /T    8.3672  270.3982518
 2013-Feb-25 00:00     23 16 49.00 -05 35 53.8   99.48815  3.995100   1.388633043007   0.7728221  2.34419640273834   3.4131293   11.5568 /T    8.2109  271.0266094
 2013-Feb-26 00:00     23 19 42.32 -05 17 03.6   99.50744  3.991749   1.389086093245   0.7960514  2.34616436907222   3.4017013   11.3364 /T    8.0546  271.6545634
 2013-Feb-27 00:00     23 22 35.39 -04 58 11.3   99.52636  3.988415   1.389552527496   0.8191698  2.34812572261957   3.3902125   11.1160 /T    7.8982  272.2821018
 2013-Feb-28 00:00     23 25 28.21 -04 39 17.0   99.54491  3.985098   1.390032280821   0.8421742  2.35008039210095   3.3785344   10.8956 /T    7.7418  272.9092132
 2013-Mar-01 00:00     23 28 20.79 -04 20 20.8   99.56310  3.981797   1.390525286556   0.8650616  2.35202822742308   3.3665242   10.6753 /T    7.5854  273.5358859
 2013-Mar-02 00:00     23 31 13.14 -04 01 23.1   99.58093  3.978515   1.391031476329   0.8878293  2.35396899424770   3.3540349   10.4551 /T    7.4289  274.1621085
 2013-Mar-03 00:00     23 34 05.28 -03 42 24.0   99.59839  3.975250   1.391550780079   0.9104741  2.35590237517326   3.3409279   10.2348 /T    7.2724  274.7878698
 2013-Mar-04 00:00     23 36 57.21 -03 23 23.6   99.61549  3.972003   1.392083126080   0.9329934  2.35782797765106   3.3270834   10.0146 /T    7.1159  275.4131585
 2013-Mar-05 00:00     23 39 48.94 -03 04 22.2   99.63222  3.968776   1.392628440964   0.9553842  2.35974534777957   3.3124099    9.7943 /T    6.9592  276.0379635
 2013-Mar-06 00:00     23 42 40.48 -02 45 20.0   99.64859  3.965568   1.393186649736   0.9776438  2.36165398868226   3.2968510    9.5740 /T    6.8025  276.6622736
 2013-Mar-07 00:00     23 45 31.84 -02 26 17.1   99.66460  3.962381   1.393757675801   0.9997694  2.36355338215490   3.2803898    9.3538 /T    6.6458  277.2860781
 2013-Mar-08 00:00     23 48 23.03 -02 07 13.8   99.68024  3.959216   1.394341440986   1.0217582  2.36544301226779   3.2630512    9.1335 /T    6.4889  277.9093659
 2013-Mar-09 00:00     23 51 14.04 -01 48 10.2   99.69551  3.956073   1.394937865559   1.0436076  2.36732238928418   3.2449005    8.9131 /T    6.3320  278.5321266
 2013-Mar-10 00:00     23 54 04.90 -01 29 06.6   99.71042  3.952953   1.395546868258   1.0653150  2.36919107162879   3.2260378    8.6928 /T    6.1751  279.1543495
 2013-Mar-11 00:00     23 56 55.61 -01 10 03.2   99.72495  3.949856   1.396168366309   1.0868778  2.37104868315301   3.2065875    8.4725 /T    6.0181  279.7760241
 2013-Mar-12 00:00     23 59 46.17 -00 51 00.1   99.73912  3.946782   1.396802275451   1.1082935  2.37289492319087   3.1866841    8.2522 /T    5.8611  280.3971403
 2013-Mar-13 00:00     00 02 36.59 -00 31 57.6   99.75291  3.943733   1.397448509961   1.1295594  2.37472956815368   3.1664576    8.0319 /T    5.7041  281.0176876
 2013-Mar-14 00:00     00 05 26.88 -00 12 55.8   99.76634  3.940708   1.398106982674   1.1506732  2.37655246530377   3.1460218    7.8116 /T    5.5470  281.6376559
 2013-Mar-15 00:00     00 08 17.04 +00 06 05.0   99.77939  3.937708   1.398777605013   1.1716324  2.37836352105341   3.1254670    7.5913 /T    5.3899  282.2570353
 2013-Mar-16 00:00     00 11 07.08 +00 25 04.6   99.79206  3.934731   1.399460287009   1.1924346  2.38016268693641   3.1048593    7.3710 /T    5.2328  282.8758159
 2013-Mar-17 00:00     00 13 57.01 +00 44 03.0   99.80436  3.931779   1.400154937324   1.2130775  2.38194994613166   3.0842431    7.1507 /T    5.0758  283.4939879
 2013-Mar-18 00:00     00 16 46.84 +01 02 59.8   99.81629  3.928850   1.400861463284   1.2335588  2.38372530244092   3.0636463    6.9305 /T    4.9187  284.1115419
 2013-Mar-19 00:00     00 19 36.56 +01 21 54.9   99.82784  3.925946   1.401579770897   1.2538762  2.38548877247051   3.0430862    6.7102 /T    4.7616  284.7284682
 2013-Mar-20 00:00     00 22 26.20 +01 40 48.1   99.83902  3.923065   1.402309764881   1.2740276  2.38724038080980   3.0225738    6.4900 /T    4.6045  285.3447576
 2013-Mar-21 00:00     00 25 15.75 +01 59 39.3   99.84982  3.920208   1.403051348690   1.2940107  2.38898015735799   3.0021168    6.2698 /T    4.4475  285.9604008
 2013-Mar-22 00:00     00 28 05.23 +02 18 28.2   99.86025  3.917375   1.403804424535   1.3138234  2.39070813556510   2.9817196    6.0495 /T    4.2905  286.5753887
 2013-Mar-23 00:00     00 30 54.65 +02 37 14.7   99.87030  3.914565   1.404568893414   1.3334637  2.39242435012368   2.9613814    5.8293 /T    4.1335  287.1897123
 2013-Mar-24 00:00     00 33 44.00 +02 55 58.7   99.87997  3.911778   1.405344655139   1.3529294  2.39412883253823   2.9410910    5.6090 /T    3.9765  287.8033627
 2013-Mar-25 00:00     00 36 33.31 +03 14 39.8   99.88927  3.909014   1.406131608360   1.3722187  2.39582160308579   2.9208193    5.3887 /T    3.8195  288.4163314
 2013-Mar-26 00:00     00 39 22.57 +03 33 18.1   99.89819  3.906273   1.406929650590   1.3913295  2.39750265815152   2.9005113    5.1684 /T    3.6626  289.0286098
 2013-Mar-27 00:00     00 42 11.81 +03 51 53.2   99.90674  3.903555   1.407738678234   1.4102601  2.39917195298016   2.8800787    4.9481 /T    3.5056  289.6401895
 2013-Mar-28 00:00     00 45 01.02 +04 10 25.1   99.91491  3.900860   1.408558586614   1.4290085  2.40082938154796   2.8593978    4.7277 /T    3.3487  290.2510621
 2013-Mar-29 00:00     00 47 50.22 +04 28 53.6   99.92271  3.898189   1.409389269995   1.4475729  2.40247475711118   2.8383143    4.5072 /T    3.1918  290.8612195
 2013-Mar-30 00:00     00 50 39.42 +04 47 18.5   99.93013  3.895541   1.410230621611   1.4659515  2.40410779812683   2.8166570    4.2867 /T    3.0349  291.4706536
 2013-Mar-31 00:00     00 53 28.62 +05 05 39.6   99.93718  3.892917   1.411082533694   1.4841427  2.40572812373903   2.7942567    4.0661 /T    2.8780  292.0793567
 2013-Apr-01 00:00     00 56 17.84 +05 23 56.8   99.94385  3.890318   1.411944897496   1.5021447  2.40733526071320   2.7709656    3.8455 /T    2.7211  292.6873209
 2013-Apr-02 00:00     00 59 07.09 +05 42 10.0   99.95015  3.887745   1.412817603320   1.5199560  2.40892866057603   2.7466729    3.6248 /T    2.5642  293.2945388
 2013-Apr-03 00:00     01 01 56.36 +06 00 19.0   99.95607  3.885198   1.413700540546   1.5375750  2.41050772333988   2.7213118    3.4040 /T    2.4074  293.9010028
 2013-Apr-04 00:00     01 04 45.68 +06 18 23.5   99.96162  3.882679   1.414593597654   1.5550001  2.41207182352497   2.6948603    3.1832 /T    2.2506  294.5067057
 2013-Apr-05 00:00     01 07 35.04 +06 36 23.5   99.96679  3.880188   1.415496662252   1.5722299  2.41362033504594   2.6673373    2.9625 /T    2.0940  295.1116403
 2013-Apr-06 00:00     01 10 24.46 +06 54 18.7   99.97158  3.877726   1.416409621101   1.5892629  2.41515265295670   2.6387960    2.7418 /T    1.9374  295.7157995
 2013-Apr-07 00:00     01 13 13.93 +07 12 09.0   99.97599  3.875294   1.417332360141   1.6060976  2.41666821118402   2.6093166    2.5213 /T    1.7811  296.3191764
 2013-Apr-08 00:00     01 16 03.47 +07 29 54.3   99.98003  3.872893   1.418264764521   1.6227328  2.41816649590591   2.5789985    2.3011 /T    1.6250  296.9217643
 2013-Apr-09 00:00     01 18 53.08 +07 47 34.3   99.98368  3.870523   1.419206718619   1.6391672  2.41964705433001   2.5479522    2.0813 /T    1.4694  297.5235566
 2013-Apr-10 00:00     01 21 42.77 +08 05 08.9   99.98695  3.868185   1.420158106072   1.6553994  2.42110949867669   2.5162909    1.8622 /T    1.3143  298.1245470
 2013-Apr-11 00:00     01 24 32.53 +08 22 38.0   99.98985  3.865880   1.421118809802   1.6714284  2.42255350544750   2.4841229    1.6442 /T    1.1600  298.7247291
 2013-Apr-12 00:00     01 27 22.38 +08 40 01.2   99.99236  3.863606   1.422088712037   1.6872528  2.42397881058438   2.4515450    1.4277 /T    1.0070  299.3240966
 2013-Apr-13 00:00     01 30 12.31 +08 57 18.6   99.99449  3.861366   1.423067694343   1.7028716  2.42538520169977   2.4186387    1.2139 /T    0.8559  299.9226436
 2013-Apr-14 00:00     01 33 02.33 +09 14 30.0   99.99624  3.859159   1.424055637644   1.7182837  2.42677250891905   2.3854698    1.0044 /T    0.7080  300.5203641
 2013-Apr-15 00:00     01 35 52.46 +09 31 35.1   99.99760  3.856984   1.425052422249   1.7334880  2.42814059587036   2.3520890    0.8030 /T    0.5659  301.1172524
 2013-Apr-16 00:00     01 38 42.68 +09 48 33.8   99.99858  3.854843   1.426057927876   1.7484835  2.42948935200747   2.3185356    0.6178 /T    0.4352  301.7133029
 2013-Apr-17 00:00     01 41 33.01 +10 05 26.0   99.99918  3.852735   1.427072033684   1.7632693  2.43081868690415   2.2848406    0.4687 /T    0.3299  302.3085102
 2013-Apr-18 00:00     01 44 23.45 +10 22 11.6   99.99940  3.850660   1.428094618288   1.7778445  2.43212852656921   2.2510303    0.3989 /T    0.2803  302.9028690
 2013-Apr-19 00:00     01 47 14.01 +10 38 50.3   99.99923  3.848618   1.429125559791   1.7922082  2.43341881128622   2.2171281    0.4476 /L    0.3140  303.4963740
 2013-Apr-20 00:00     01 50 04.68 +10 55 22.0   99.99868  3.846610   1.430164735802   1.8063596  2.43468949399177   2.1831541    0.5863 /L    0.4111  304.0890203
 2013-Apr-21 00:00     01 52 55.49 +11 11 46.6   99.99775  3.844634   1.431212023466   1.8202979  2.43594053775353   2.1491225    0.7677 /L    0.5383  304.6808028
 2013-Apr-22 00:00     01 55 46.42 +11 28 04.0   99.99644  3.842692   1.432267299485   1.8340222  2.43717191052555   2.1150346    0.9685 /L    0.6788  305.2717169
 2013-Apr-23 00:00     01 58 37.48 +11 44 13.9   99.99473  3.840782   1.433330440144   1.8475320  2.43838357520872   2.0808698    1.1788 /L    0.8260  305.8617580
 2013-Apr-24 00:00     02 01 28.69 +12 00 16.3   99.99265  3.838906   1.434401321332   1.8608266  2.43957547346835   2.0465733    1.3945 /L    0.9769  306.4509216
 2013-Apr-25 00:00     02 04 20.05 +12 16 11.1   99.99018  3.837062   1.435479818568   1.8739054  2.44074750318795   2.0120470    1.6137 /L    1.1299  307.0392033
 2013-Apr-26 00:00     02 07 11.55 +12 31 58.0   99.98733  3.835252   1.436565807026   1.8867678  2.44189949202209   1.9771463    1.8351 /L    1.2844  307.6265991
 2013-Apr-27 00:00     02 10 03.22 +12 47 37.1   99.98409  3.833475   1.437659161554   1.8994131  2.44303117256897   1.9416893    2.0581 /L    1.4399  308.2131047
 2013-Apr-28 00:00     02 12 55.04 +13 03 08.0   99.98046  3.831733   1.438759756702   1.9118411  2.44414216648029   1.9054780    2.2825 /L    1.5961  308.7987162
 2013-Apr-29 00:00     02 15 47.04 +13 18 30.8   99.97645  3.830025   1.439867466739   1.9240510  2.44523198350649   1.8683277    2.5080 /L    1.7529  309.3834299
 2013-Apr-30 00:00     02 18 39.21 +13 33 45.2   99.97205  3.828353   1.440982165678   1.9360426  2.44630003688400   1.8300927    2.7343 /L    1.9101  309.9672422
 2013-May-01 00:00     02 21 31.57 +13 48 51.2   99.96727  3.826717   1.442103727301   1.9478154  2.44734567096975   1.7906815    2.9615 /L    2.0677  310.5501495
 2013-May-02 00:00     02 24 24.10 +14 03 48.5   99.96209  3.825119   1.443232025179   1.9593692  2.44836819379505   1.7500591    3.1894 /L    2.2257  311.1321484
 2013-May-03 00:00     02 27 16.82 +14 18 37.2   99.95652  3.823559   1.444366932695   1.9707036  2.44936690759950   1.7082386    3.4180 /L    2.3839  311.7132358
 2013-May-04 00:00     02 30 09.72 +14 33 17.0   99.95057  3.822039   1.445508323062   1.9818183  2.45034113322521   1.6652692    3.6472 /L    2.5423  312.2934085
 2013-May-05 00:00     02 33 02.82 +14 47 47.9   99.94422  3.820559   1.446656069347   1.9927131  2.45129022734140   1.6212240    3.8770 /L    2.7010  312.8726635
 2013-May-06 00:00     02 35 56.10 +15 02 09.6   99.93748  3.819121   1.447810044494   2.0033878  2.45221359342958   1.5761906    4.1074 /L    2.8599  313.4509980
